[WORKLEVEL] 2018-02-23 10:42:25.513 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:42:25.525 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:42:33.170 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:42:38.212 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:42:40.528 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:43:05.642 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:43:38.463 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:45:10.472 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:45:10.849 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:45:11.590 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:45:13.310 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:45:19.741 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:45:21.645 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:45:25.733 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:45:31.740 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:45:32.940 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:45:42.984 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:45:46.068 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:45:47.477 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:45:48.116 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:45:49.208 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:45:49.899 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:45:51.477 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:45:52.211 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:45:52.892 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:45:53.219 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:45:53.491 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:45:53.732 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:45:54.060 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:45:59.966 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:46:00.724 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:46:01.188 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:46:01.427 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:46:01.603 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
[WORKLEVEL] 2018-02-23 10:46:01.795 interview.portal.controller.AuthenticationController                   authorization                           (63   ) - Authentication; user: FNHTGHKH
